stdrYm,areaCd,unitySignguCd,spctrUncd,spctrSecd,spctrCd,spctrTelno,spctrAdres,spctrDetailAdres,spctrStscd,operMbyLclasCd,operMbySclasCd,sttemntSeccd,registDe,rceptAmt,provdAmt,undtakeAmt,trnsferAmt,userCo,위도,경도
202412,01,02000014,1,20,S00101,02-2077-3985,서울특별시 마포구 만리재로 14,한국사회복지회관 1201호,1,1,101,2,20020520,2679327870,5600000.0,0,2871599409,2,37.54389741,126.952835
202412,02,02000004,2,20,S00201,02-905-1377,서울특별시 성동구 자동차시장3길 64," (용답동, 중랑물재생센터)",1,1,101,2,20001205,642075521,24055579.39,4410000,523280013,417,37.5604667,127.0603649
202412,03,03000006,2,20,S02501,051-791-1377,부산광역시 동래구 낙민로 25, (낙민동)부산사회복지종합센터 302호,1,1,101,2,20140701,429963939,145320554.8,428016010,735978959,69,35.19777644,129.0907629
202412,03,03000001,3,20,S02601,051-464-3137,부산 중구 대청동4가,Jul-75,1,1,101,1,20020101,0,0.0,18001109,0,1,35.10713865,129.0304569
202412,03,03000002,3,20,S02701,051-253-1922,부산광역시 서구 망양로193번길 104, (동대신동1가),1,1,101,1,20020101,1373020,5081402.13,16357891,0,6,35.11117628,129.0263539
202412,03,03000003,3,20,S02801,051-633-3367,부산 동구 범일동,1542-1,1,1,102,2,20020101,37044469,46691594.78,10782572,0,181,,
202412,03,03000004,3,20,S02901,051-404-5061,부산 영도구 동삼3동,1123,1,1,101,1,20020101,8977310,26925025.34,18062303,597936,441,35.08467363,129.0686483
202412,03,03000005,3,20,S03001,051-896-2320,부산광역시 부산진구 당감서로 16, (당감동),1,1,101,1,20020101,87418373,95163086.71,7744673,0,26,35.16232437,129.0366013
202412,03,03000006,3,20,S03101,051-531-2460,부산 동래구 명장2동,508-72,1,1,101,1,20020101,26057489,22672122.82,6762166,10213624,43,35.20795102,129.1024181
202412,03,03000007,3,20,S03201,051-647-3655,부산광역시 남구 동제당로 258, (우암동),1,1,101,2,20020101,26022000,42478198.91,16456198,0,248,35.12717198,129.0749074
