상호명,센터구분,시도명,시군구명,소재지도로명주소,소재지지번주소,신고구분,전화번호,운영기관명,기부물품명,대표자명,총직원수,데이터기준일자,제공기관코드,제공기관명
대구광역푸드뱅크,푸드뱅크,대구광역시,남구,대구광역시 남구 대덕로181,대구광역시 남구 봉덕동 1019,,053-474-1377,태선복지재단,가공식품+생활용품,안신애,2,2024-08-05,3440000,대구광역시 남구
대명기초푸드뱅크,푸드뱅크,대구광역시,남구,대구광역시 남구 양지로 8,대구광역시 남구 대명동 3003-23,,053-657-1170,무일복지재단,가공식품+생활용품,설찬수,15,2024-08-05,3440000,대구광역시 남구
늘해랑푸드마켓,푸드마켓,대구광역시,남구,대구광역시 남구 봉덕로5길 9,대구광역시 남구 봉덕동 739-1,,053-473-1377,태선복지재단,가공식품+생활용품,안신애,1,2024-08-05,3440000,대구광역시 남구
중구기초푸드뱅그,푸드뱅크,대구광역시,중구,대구광역시 중구 남산로7길 80,대구광역시 중구 남산동 2482-1,당연신고,053-254-1388,남산종합사회복지관,식품 및 생활용품,신상윤,1,2024-08-07,3410000,대구광역시 중구
대구나눔과기쁨푸드마켓,푸드뱅크,대구광역시,중구,대구광역시 중구 달구벌대로 2034 (811호),대구광역시 중구 남산동 175-10,당연신고,053-475-6960,대구나눔과기쁨푸드뱅크,식품 및 생활용품,김정성,1,2024-08-07,3410000,대구광역시 중구
행복한중구 푸드마켓,푸드마켓,대구광역시,중구,대구광역시 중구 남산로29-1,대구광역시 중구 남산동 2466-91,당연신고,053-256-1377,남산종합사회복지관,식품 및 생활용품,신상윤,1,2024-08-07,3410000,대구광역시 중구
중구만나푸드마켓,푸드마켓,대구광역시,중구,대구광역시 중구 대봉로43안길50-10,대구광역시 중구 대봉동 719-26,당연신고,053-257-1377,남산기독교종합사회복지관,식품 및 생활용품,심영숙,1,2024-08-07,3410000,대구광역시 중구
해남기초푸드뱅크,푸드뱅크,전라남도,해남군,전남 해남군 해남읍 서림길 5,전남 해남군 해남읍 구교리 338,임의신고,061-535-1377,(재)기감유지재단 새롬교회,가공식품+신선식품,이호군,1,2024-08-09,4930000,전라남도 해남군
영주시종합사회복지관,푸드뱅크,경상북도,영주시,경상북도 영주시 대학로 130-1,경상북도 영주시 가흥1동 1385,,054-639-0500,영주시종합사회복지관,,,,2024-08-08,5090000,경상북도 영주시
가평푸드뱅크,푸드뱅크,경기도,가평군,경기도 가평군 가평읍 달전로 44,,당연신고,031-581-2727,가평푸드뱅크,가공식품,정현주,3,2024-08-08,4160000,경기도 가평군
부천시푸드뱅크,푸드뱅크,경기도,부천시,경기도 부천시 원미구 신흥로275번길 19(중동),경기도 부천시 원미구 중동 1051-8,당연신고,032-326-1477,심곡동종합사회복지관,가공식품+신선식품,연정준,2,2024-08-06,3860000,경기도 부천시
부천시다사랑푸드마켓,푸드마켓,경기도,부천시,경기도 부천시 원미구 신흥로275번길 19(중동),경기도 부천시 원미구 중동 1051-8,당연신고,032-324-1688,심곡동종합사회복지관,가공식품+신선식품,연정준,2,2024-08-06,3860000,경기도 부천시
부천시행복한동행푸드뱅크,푸드뱅크,경기도,부천시,경기도 부천시 원미구 성곡로63번길 104(도당동),경기도 부천시 원미구 도당동 123,당연신고,032-612-0124,사단법인 행복을나누는사람들,가공식품+신선식품,이명희,2,2024-08-06,3860000,경기도 부천시
복사골푸드뱅크,푸드뱅크,경기도,부천시,경기도 부천시 원미구 부천로54번길 10(심곡동),경기도 부천시 원미구 심곡동 161-3,당연신고,032-661-0112,개인,가공식품,최성열,1,2024-08-06,3860000,경기도 부천시
홍성군 푸드마켓 뱅크,푸드뱅크+푸드마켓,충청남도,홍성군,충청남도 홍성군 홍성읍 홍성천길 114,충청남도 홍성군 홍성읍 오관리 457-5,당연신고,041-634-7377,사회복지법인장수원,기부식품+신선식품+냉동식품+생활용품,곽정욱,1,2024-07-31,4600000,충청남도 홍성군
강서구기초푸드뱅크,푸드뱅크,부산광역시,강서구,부산광역시 강서구 명지동 순아강변길5,부산광역시 강서구 명지동 627-28,임의신고,051-271-0560,낙동종합사회복지관,가공식품,권기철,,2024-08-01,3360000,부산광역시 강서구
강서구둥지푸드마켓,푸드마켓,부산광역시,강서구,부산광역시 강서구 공항로 1207,부산광역시 강서구 대저1동 2690-2,임의신고,051-711-1378,사단법인둥지복지마을,가공식품+일상용품,김금빈,,2024-08-01,3360000,부산광역시 강서구
함평기초푸드뱅크,푸드뱅크,전라남도,함평군,전라남도 함평군 함평읍 함장로 1071,,,,나비뜰동산,,,,2024-08-07,4960000,전라남도 함평군
함평희망나눔기초푸드뱅크,푸드뱅크,전라남도,함평군,전라남도 함평군 함평읍 송정길 49-5,,,,나눔봉사단,,,,2024-08-07,4960000,전라남도 함평군
함양푸드뱅크,푸드뱅크,경상남도,함양군,경상남도 함양군 함양읍 월명길 12,경상남도 함양군 함양읍 백천리 309,,055-962-2071,함양정신요양원,,오연교,,2024-07-31,5460000,경상남도 함양군
성북구 푸드뱅크마켓센터 1호점,푸드뱅크,서울특별시,성북구,서울특별시 성북구 아리랑로4길 22,,,,일광복지재단,,,,2024-08-06,3070000,서울특별시 성북구
성북구 푸드뱅크마켓센터 2호점,푸드마켓,서울특별시,성북구,서울특별시 성북구 오패산로 4,,,,일광복지재단,,,,2024-08-06,3070000,서울특별시 성북구
군포기초푸드뱅크,푸드뱅크,경기도,군포시,경기도 군포시 오금로 102(금정동),경기도 군포시 금정동 870-10,당연신고,031-397-2054,(사)성민원,가공식품+신선식품,박현주,7,2024-08-05,4020000,경기도 군포시
영천시기초푸드뱅크,푸드뱅크,경상북도,영천시,경상북도 영천시 한방로 195-6,경상북도 영천시 작산동 130,임의신고,054-335-3633,영천희망원,가공식품+신선식품,이주원,1,2024-08-05,5100000,경상북도 영천시
안성기초푸드뱅크,푸드뱅크,경기도,안성시,경기도 안성시 중앙로 451번길 11,경기도 안성시 봉남동 4,당연신고,031-674-9451,안성시사회복지협의회,식품 및 생필품,송용현,2,2024-08-06,4080000,경기도 안성시
이동푸드마켓,푸드마켓,경기도,안성시,경기도 안성시 중앙로 451번길 11,경기도 안성시 봉남동 4,당연신고,031-674-9451,안성시사회복지협의회,식품 및 생필품,송용현,2,2024-08-06,4080000,경기도 안성시
서안성푸드뱅크,푸드뱅크,경기도,안성시,경기도 안성시 공도읍 진사길 79-17,경기도 안성시 공도읍 진사리 305-1,당연신고,031-652-5085,대한예수교장로회늘푸른교회,식품 및 생필품,박면호,2,2024-08-06,4080000,경기도 안성시
안성동부푸드뱅크,푸드뱅크,경기도,안성시,경기도 안성시 죽산면 죽주로 292-22,경기도 안성시 죽산면 죽산리 99-1,당연신고,070-7788-1377,사단법인 예랑복지센터,식품 및 생필품,김철희,2,2024-08-06,4080000,경기도 안성시
안성연화마을푸드뱅크,푸드뱅크,경기도,안성시,경기도 안성시 일죽면 금일로 93,경기도 안성시 일죽면 화봉리 719-10,당연신고,031-674-1356,안성연화마을푸드뱅크,식품 및 생필품,이재용,2,2024-08-06,4080000,경기도 안성시
대전행복나눔무지개푸드마켓2호점,푸드마켓,대전광역시,동구,대전광역시 동구 동대전로 102-1,대전광역시 동구 대동 64-19 붐,당연신고,042-633-1377,대전광역시사회복지협의회,가공식품+농수축산물+조리된음식+생활용품기타,고철영,2,2024-07-31,3640000,대전광역시 동구
대전행복나눔무지개푸드마켓7호점,푸드마켓,대전광역시,동구,대전광역시 동구 동구청로203번길 1,대전광역시 동구 판암동 470-24,당연신고,042-286-1377,대전광역시사회복지협의회,가공식품+농수축산물+조리된음식+생활용품기타,안승서,2,2024-07-31,3640000,대전광역시 동구
새소망푸드뱅크,푸드뱅크,대전광역시,동구,대전광역시 동구 갱이길 49,대전광역시 동구 가양동 359-6,당연신고,042-624-1377,대전광역시사회복지협의회,가공식품+농수축산물+조리된음식+생활용품기타,홍학기,1,2024-07-31,3640000,대전광역시 동구
나누미푸드뱅크,푸드뱅크,대전광역시,동구,대전광역시 동구 태전로174번안길 20,대전광역시 동구 삼성동 382-6,당연신고,042-623-5060,대전광역시사회복지협의회,가공식품+농수축산물+조리된음식+생활용품기타,김윤환,1,2024-07-31,3640000,대전광역시 동구
연천푸드뱅크,푸드뱅크,경기도,연천군,경기도 연천군 전곡읍 전곡로 40번길 1,경기도 연천군 전곡읍 전곡리 239-13,당연신고,031-833-1010,연천푸드뱅크,"가공식품, 신선식품 등",백성국,2,2024-08-05,4140000,경기도 연천군
영도구푸드마켓,푸드마켓,부산광역시,영도구,부산광역시 영도구 태종로 514(동삼동),부산광역시 영도구 동삼동 215-57,당연신고,051-405-1377,한국재활재단상리종합사회복지관,가공식품+신선식품 +생활용품,김영신,3,2024-08-05,3280000,부산광역시 영도구
영도구푸드뱅크,푸드뱅크,부산광역시,영도구,부산광역시 영도구 상리로 63-16(동삼동),부산광역시 영도구 동삼동 1123,임의신고,051-404-5061,한국재활재단상리종합사회복지관,가공식품+신선식품,김영신,1,2024-08-05,3280000,부산광역시 영도구
서초구 푸드뱅크마켓센터,푸드마켓,서울특별시,서초구,"서울특별시 서초구 바우뫼로 43, 지하2층(우면동, 바우뫼복지문화센터)",서울특별시 서초구 우면동 68-1,,02-579-1377,서초구 푸드뱅크/마켓센터,,김풍기,,2024-08-05,3210000,서울특별시 서초구
파주시사랑나눔푸드뱅크,푸드뱅크,경기도,파주시,경기도 파주시 파주읍 봉서산로 138,,당연신고,031-949-1377,파주교시협의회,가공식품+신선식품,김백현,2,2024-08-05,4060000,경기도 파주시
파주시희망나눔푸드뱅크,푸드뱅크,경기도,파주시,경기도 파주시 교하로 914(문발동),,당연신고,031-945-3054,희망나눔터,가공식품+신선식품,최명성,2,2024-08-05,4060000,경기도 파주시
파주시희망나눔푸드마켓,푸드마켓,경기도,파주시,경기도 파주시 교하로 914(문발동),,당연신고,031-949-2215,희망나눔터,가공식품+신선식품,최명성,2,2024-08-05,4060000,경기도 파주시
보은군기초푸드뱅크,푸드뱅크,충청북도,보은군,충북 보은군 보은읍 보청대로 1907,충북 보은군 보은읍 교사리 91-3,당연신고,043-544-1377,보은군사회복지협의회,가공식품+신선식품,구왕회,1,2024-08-05,4420000,충청북도 보은군
계양구 푸드뱅크,푸드뱅크,인천광역시,계양구,인천광역시 계양구 계양대로 126,인천광역시 계양구 작전동 855-23,당연신고,032-551-2377,사단법인 인천내일을여는집,가공식품+신선식품,이준모,1,2024-08-01,3550000,인천광역시 계양구
계양구 푸드마켓,푸드마켓,인천광역시,계양구,인천광역시 계양구 계양대로 126,인천광역시 계양구 작전동 855-23,당연신고,032-551-2377,사단법인 인천내일을여는집,가공식품+신선식품,이준모,2,2024-08-01,3550000,인천광역시 계양구
영덕군푸드뱅크,푸드뱅크,경상북도,영덕군,경상북도 영덕군 영덕읍 남석3길 15,,당연신고,054-732-1377,(재)영덕복지재단,,,,2024-08-01,5180000,경상북도 영덕군
양주기초푸드뱅크,푸드뱅크,경기도,양주시,경기도 양주시 광적면 가래비길 93,양주시 광적면 가납리 848-2,당연신고,031-837-1377,개인,가공식품+신선식품+생활용품,박영주,2,2024-07-30,5590000,경기도 양주시
양주연화푸드마켓,푸드마켓,경기도,양주시,경기도 양주시 외미로64번길 35,경기도 양주시 남방동 121-7,당연신고,031-861-1377,(재)천년고찰 청련사,가공식품+신선식품+생활용품,최기훈,2,2024-07-30,5590000,경기도 양주시
동구푸드마켓1호점,푸드마켓,인천광역시,동구,인천광역시 동구 금곡로81번길27(송림동),,,032-773-2377,인천연탄은행밥상공동체 사회적협동조합,,,,2024-08-01,3500000,인천광역시 동구
동구푸드뱅크,푸드뱅크,인천광역시,동구,"인천광역시 동구 만석로36번길 1, 102호(만석동)",,,032-763-1377,기독교대한감리회 사회복지재단,,,,2024-08-01,3500000,인천광역시 동구
칠곡기초푸드뱅크,푸드뱅크,경상북도,칠곡군,경상북도 왜관읍 관문로1길 32,경상북도 왜관읍 석전리 256,임의신고,054-979-5129,칠곡군 교육문화회관,"식재료, 의류 등",차영식,2,2024-07-31,5220000,경상북도 칠곡군
북구기초푸드뱅크,푸드뱅크,부산광역시,북구,부산광역시 북구 덕천로 74,부산광역시 북구 덕천로 74,당연신고,051-331-4176,덕천종합사회복지관,기부식품등,김미정,3,2024-07-30,3320000,부산광역시 북구
북구행복나눔푸드마켓,푸드마켓,부산광역시,북구,부산광역시 북구 의성로115번길,부산광역시 북구 의성로115번길 11,당연신고,051-335-8377,덕천종합사회복지관,기부식품등,김미정,3,2024-07-30,3320000,부산광역시 북구
